segment_id,lifecycle_stage,goal,template_id,message_title_en,message_body_en,cta_text_en,message_title_hi,message_body_hi,cta_text_hi
1,lifecycle_stage_paid,Retention,1_lifecycle_stage_paid_T2_Tease,Unlock Your Potential,Get ready to supercharge your learning with {feature_name},Let's Go,Apna Potential Jagao,{feature_name} ke saath apne seekhne ki shamta badhayein,Chalo Shuru Karein
1,lifecycle_stage_paid,Retention,1_lifecycle_stage_paid_T3_Anchor,Your AI Tutor Awaits,Start learning with {feature_name} now and earn {coins_balance} coins,Start Now,Aapka AI Tutor Intezar Kar Raha Hai,Abhi {feature_name} ke saath seekhein aur {coins_balance} coins kamaein,Abhi Shuru Karein
1,lifecycle_stage_paid,Retention,1_lifecycle_stage_paid_T4_Welcome,You're Back!,"Welcome back, {first_name}! Your current streak is {streak_current}",Let's Learn,Aap Wapas Aa Gaye!,"Swagat hai, {first_name}! Aapka current streak hai {streak_current}",Seekhne Chalo
1,lifecycle_stage_paid,Retention,1_lifecycle_stage_paid_T5_WrapUp,Today's Progress,You've made great progress today with {feature_name},Review,Aaj Ka Pragati,Aapne aaj {feature_name} ke saath acchi pragati ki hai,Jaanch Karein
1,lifecycle_stage_inactive,Reactivation,1_lifecycle_stage_inactive_T1_Seed,New Tricks,Discover smarter tools {first_name}!,Explore,Kya Hai Naya?,Smarter tools try karo {first_name}!,Dekho
1,lifecycle_stage_inactive,Reactivation,1_lifecycle_stage_inactive_T2_Tease,Unlock More,Get ahead with {feature_name}!,Unlock,Aur Kuch?,{feature_name} se aage badho!,Kholo
1,lifecycle_stage_inactive,Reactivation,1_lifecycle_stage_inactive_T3_Anchor,Rejoin Now,Your streak {streak_current} awaits!,Go,Wapas Aao,Aapka streak {streak_current} wait kar raha hai!,Chalo
1,lifecycle_stage_inactive,Reactivation,1_lifecycle_stage_inactive_T4_Welcome,You're Back,{coins_balance} coins await!,Play,Aap Wapas,{coins_balance} coins aapke liye!,Khelo
1,lifecycle_stage_inactive,Reactivation,1_lifecycle_stage_inactive_T5_WrapUp,Today's Gain,You gained today!,Done,Aaj Ka Labh,Aaj aapne kya seekha!,Ho Gaya
1,lifecycle_stage_churned,Win-back,1_lifecycle_stage_churned_T1_Seed,New Strategy,Discover new ways to learn with {feature_name},Explore,Naya Tareeka,"{first_name}, {feature_name} ke naye tareeke seekho",Jaanne ke liye
1,lifecycle_stage_churned,Win-back,1_lifecycle_stage_churned_T2_Tease,Unlock Tools,Get ready to unlock smarter tools with {feature_name},Unlock,Tools Unlock Karein,"{first_name}, {feature_name} ke smarter tools ko unlock karein",Kholein
1,lifecycle_stage_churned,Win-back,1_lifecycle_stage_churned_T3_Anchor,Your Edge,Validate your unique approach with {feature_name} now,Go,Aapka Edge,"{first_name}, {feature_name} ke saath apna unique approach validate karein",Chalo
1,lifecycle_stage_churned,Win-back,1_lifecycle_stage_churned_T4_Welcome,You're Back,Welcome back! Start with {feature_name} now,Start,Aap Wapas Aaye,"{first_name}, swagat hai! {feature_name} ke saath shuru karein",Shuru Karein
1,lifecycle_stage_churned,Win-back,1_lifecycle_stage_churned_T5_WrapUp,Today's Gain,You learned something new with {feature_name} today,Done,Aaj Ka Labh,"{first_name}, aaj {feature_name} ke saath kuch naya seekha",Ho Gaya
2,lifecycle_stage_trial,Conversion,2_lifecycle_stage_trial_T1_Seed,New Challenge,Discover what's new in {feature_name},Explore,Kya Hai Naya?,{feature_name} mein kya hai naya?,Jaanein
2,lifecycle_stage_trial,Conversion,2_lifecycle_stage_trial_T2_Tease,Get Ready,Your {streak_current} streak is on fire,Let's Go,Taiyaar Ho Jaao,Aapka {streak_current} streak jal raha hai,Chalo Shuru Karein
2,lifecycle_stage_trial,Conversion,2_lifecycle_stage_trial_T3_Anchor,Level Up,Master {feature_name} & earn {coins_balance} coins,Play Now,Level Badhaein,{feature_name} mein master banen aur {coins_balance} coins kamaen,Abhi Khelien
2,lifecycle_stage_trial,Conversion,2_lifecycle_stage_trial_T4_Welcome,You're In,"Welcome back, {first_name}! Check your {streak_current} streak",View,Aap Andar Hain,"Swagat hai, {first_name}! Aapka {streak_current} streak dekhein",Dekhein
2,lifecycle_stage_trial,Conversion,2_lifecycle_stage_trial_T5_WrapUp,Daily Recap,You learned something new today in {feature_name},Done,Din Bhar Ka Recap,Aaj aapne {feature_name} mein kuch naya seekha,Ho Gaya
2,lifecycle_stage_paid,Retention,2_lifecycle_stage_paid_T1_Seed,New Skill,"Discover new skills, {first_name}!",Explore,Naya Skill,"Naye skills ko discover karo, {first_name}!",Dekho
2,lifecycle_stage_paid,Retention,2_lifecycle_stage_paid_T2_Tease,Get Ready,"Your next session is near, {first_name}!",Let's Go,Taiyaar Ho,"Aapki agli session near hai, {first_name}!",Chalo
2,lifecycle_stage_paid,Retention,2_lifecycle_stage_paid_T3_Anchor,Level Up,"Level up with {streak_current} sessions, {first_name}!",Now,Level Up,"{streak_current} sessions ke saath level up karo, {first_name}!",Abhi
2,lifecycle_stage_paid,Retention,2_lifecycle_stage_paid_T4_Welcome,You're Back,"Welcome back, {first_name}! Earn {coins_balance} coins",Play,Aap Wapas,"Wapas aaye, {first_name}! {coins_balance} coins kamao",Khelo
2,lifecycle_stage_paid,Retention,2_lifecycle_stage_paid_T5_WrapUp,Daily Recap,"You mastered {feature_name} today, {first_name}!",Done,Daily Recap,"Aaj {feature_name} master kiya, {first_name}!",Ho Gaya
2,lifecycle_stage_inactive,Reactivation,2_lifecycle_stage_inactive_T1_Seed,Unlock Skills,Discover what you can achieve with {feature_name},Explore,Kya Tum Jaante,{feature_name} ke saath kya achieve kar sakte ho?,Jaanne ke liye
2,lifecycle_stage_inactive,Reactivation,2_lifecycle_stage_inactive_T2_Tease,Get Ahead,Level up with {streak_current} streak,Now,Aage Badho,{streak_current} streak ke saath aage badho,Abhi
2,lifecycle_stage_inactive,Reactivation,2_lifecycle_stage_inactive_T3_Anchor,Reclaim Top,Master {feature_name} & win {coins_balance} coins,Go,Top Par Wapas,{feature_name} master karo aur {coins_balance} coins jeeto,Chalo
2,lifecycle_stage_inactive,Reactivation,2_lifecycle_stage_inactive_T4_Welcome,You're Back,Resume your {streak_current} day streak,Let's Go,Welcome Back,{streak_current} din ka streak jari rakho,Shuru Karein
2,lifecycle_stage_inactive,Reactivation,2_lifecycle_stage_inactive_T5_WrapUp,Today's Gain,You've got {coins_balance} coins today,See,Aaj Ka Labh,Aaj {coins_balance} coins mile,Dekho
2,lifecycle_stage_churned,Win-back,2_lifecycle_stage_churned_T1_Seed,New Challenge,"{first_name}, what can you achieve in {feature_name}?",Explore,Naya Challenge,"{first_name}, aap {feature_name} mein kya achieve kar sakte hain?",Jaankaari
2,lifecycle_stage_churned,Win-back,2_lifecycle_stage_churned_T2_Tease,Get Ready,Your {streak_current} day streak is waiting in {feature_name},Go,Taiyaar Hojao,Aapka {streak_current} din ka streak {feature_name} mein intezaar kar raha hai,Chalo
2,lifecycle_stage_churned,Win-back,2_lifecycle_stage_churned_T3_Anchor,Level Up,"{first_name}, master {feature_name} and earn {coins_balance} coins",Play,Level Up,"{first_name}, {feature_name} mein master banen aur {coins_balance} coins jeeten",Khelen
2,lifecycle_stage_churned,Win-back,2_lifecycle_stage_churned_T4_Welcome,You're Back,Welcome back to {feature_name}! Your progress is waiting,Next,Aap Wapas,{feature_name} mein swagat hai! Aapka progress intezaar kar raha hai,Aage
2,lifecycle_stage_churned,Win-back,2_lifecycle_stage_churned_T5_WrapUp,Day Recap,You made progress in {feature_name} today!,Done,Din Ka Recap,Aapne aaj {feature_name} mein progress kiya!,Poori
